Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ml_preprocessing_image,6983,0,140.0,148.56035424873636,64.07180600217544,796.9126920033887,186.54102821137047,116.25487647846492,0.0,140,160,170,180,210,240,280,380,690,800,800
,Aggregated,6983,0,140.0,148.56035424873636,64.07180600217544,796.9126920033887,186.54102821137047,116.25487647846492,0.0,140,160,170,180,210,240,280,380,690,800,800
