image_name,size,main_duration_ms,minio_get_ms,minio_put_ms
0b2ea7dd-e924-46b3-9bee-da0e7e68341f.png,437895,3.3323450088500977,0.03599214553833008,0.0
2013f6d1-e482-42d0-8861-6c9f2dc0eb55.png,507864,3.304370641708374,0.03696489334106445,0.0
20b1eded-0838-4fd6-b86e-fd60d9072a4b.png,588654,3.358412027359009,0.017289161682128906,0.0
00d83a64-a624-4ef2-a9b0-2666cde02218.png,581972,3.120605945587158,0.05343437194824219,0.0
11b30384-1954-4335-bbc1-e985d25bc652.png,561086,3.3530170917510986,0.01930379867553711,0.0
00d83a64-a624-4ef2-a9b0-2666cde02218.png,581972,3.0776095390319824,0.034348487854003906,0.0
0a8426c1-93b5-4f84-8d0e-f2e7a83fb6c3.png,410010,2.992553234100342,0.016721010208129883,0.0
04f48a9f-5c84-4e8a-9b32-9c1ccf2e78da.png,675902,3.166289806365967,0.03663468360900879,0.0
2e4673a1-7057-4436-b7d2-d4df4b08946a.png,613870,3.070690631866455,0.023799657821655273,0.0
19a98fb2-0e2c-4c72-acf0-6c530ed8d718.png,817224,2.9816315174102783,0.031012773513793945,0.0
071fa44f-8cd9-477b-8fcb-b02a4ecd10d8.png,606955,2.942835569381714,0.020448684692382812,0.0
0a8426c1-93b5-4f84-8d0e-f2e7a83fb6c3.png,410010,1.3937737941741943,0.025782108306884766,0.0
04305dd9-2607-4bd2-99d6-58a989fced80.png,488295,2.112109422683716,0.02169013023376465,0.0
2ccc7c34-aa70-4ea3-8a76-9a7e311ab5fb.png,541543,5.380425453186035,0.028349637985229492,0.0
2036aaef-025e-4187-89d0-344f697a4546.png,859635,5.577840805053711,0.04316067695617676,0.0
1f98a9d5-4e20-4de9-a7d3-1f4eed9477fd.png,600693,2.4982686042785645,0.015241384506225586,0.0
2d2c2284-d7ba-4fce-9290-a3928b8d548d.png,698377,2.7302796840667725,0.02073049545288086,0.0
12ae73f1-6a75-4664-895b-7caebfd435dc.png,594643,5.9019153118133545,0.09074020385742188,0.0
1fdaac27-9006-4725-9195-175566572458.png,436643,5.56624436378479,0.02552318572998047,0.0
1775215d-5a39-4cc7-a4e3-9ff9a032653d.png,547343,2.8965771198272705,0.02360391616821289,0.0
1dae0fcc-6723-45c0-bbad-b4ecc903ab78.png,640960,3.0368130207061768,0.01343083381652832,0.0
198ba48e-1352-4cad-aaeb-304af1138fbb.png,484563,3.2274982929229736,0.012011051177978516,0.0
19a98fb2-0e2c-4c72-acf0-6c530ed8d718.png,817224,3.3743255138397217,0.018498659133911133,0.0
00d83a64-a624-4ef2-a9b0-2666cde02218.png,581972,3.571727752685547,0.015694618225097656,0.0
11b30384-1954-4335-bbc1-e985d25bc652.png,561086,3.811741590499878,0.013700485229492188,0.0
277e33c1-e61e-4be1-a3dd-0ee39dd997db.png,447135,4.030007362365723,0.021048545837402344,0.0
1869588e-218e-40cb-be35-27539b278535.png,466842,3.241588592529297,0.04032301902770996,0.0
19a98fb2-0e2c-4c72-acf0-6c530ed8d718.png,817224,7.239537715911865,0.04664421081542969,0.0
25d9cece-f660-460f-b9e1-736f33c71c10.png,419408,2.915497064590454,0.04637622833251953,0.0
